,IV_NN
0,0.21295854449272156
1,0.2128775268793106
2,0.21279650926589966
3,0.21271544694900513
4,0.21263451874256134
5,0.21255342662334442
6,0.21247237920761108
7,0.21239139139652252
8,0.2123102992773056
9,0.21222937107086182
10,0.21214832365512848
11,0.21206727623939514
12,0.21198630332946777
13,0.2119053304195404
14,0.21182428300380707
15,0.21176683902740479
16,0.2117188721895218
17,0.21167093515396118
18,0.2116229236125946
19,0.21157491207122803
20,0.21152697503566742
21,0.211479052901268
22,0.21143098175525665
23,0.21138302981853485
24,0.21133507788181305
25,0.21128712594509125
26,0.21123909950256348
27,0.21119113266468048
28,0.2111431360244751
29,0.2110951989889145
30,0.2110472023487091
31,0.21099919080734253
32,0.2109512835741043
33,0.2109033614397049
34,0.21085534989833832
35,0.21080730855464935
36,0.21075931191444397
37,0.21071138978004456
38,0.21066342294216156
39,0.21061551570892334
40,0.21056756377220154
41,0.210519477725029
42,0.2104715257883072
43,0.21042361855506897
44,0.21037563681602478
45,0.21032759547233582
46,0.2102797031402588
47,0.2102317214012146
48,0.21023517847061157
49,0.21023954451084137
50,0.21024373173713684
51,0.21024784445762634
52,0.21025210618972778
53,0.21025623381137848
54,0.21026040613651276
55,0.210264652967453
56,0.21026889979839325
57,0.21027307212352753
58,0.210277259349823
59,0.21028153598308563
60,0.2102857232093811
61,0.21028989553451538
62,0.21029409766197205
63,0.21029825508594513
64,0.21030251681804657
65,0.21030674874782562
66,0.21031096577644348
67,0.21031513810157776
68,0.210319384932518
69,0.2103234976530075
70,0.21032629907131195
71,0.2101239711046219
72,0.20992186665534973
73,0.20971959829330444
74,0.2095174342393875
75,0.2093152105808258
76,0.20911306142807007
77,0.20891085267066956
78,0.20870867371559143
79,0.2085064947605133
80,0.2083042562007904
81,0.20810207724571228
82,0.20789982378482819
83,0.20769762992858887
84,0.20749551057815552
85,0.20729342103004456
86,0.2070910930633545
87,0.2068876475095749
88,0.20668259263038635
89,0.20647761225700378
90,0.20631100237369537
91,0.20634467899799347
92,0.20623938739299774
93,0.20613405108451843
94,0.2060287594795227
95,0.2059234082698822
96,0.20581811666488647
97,0.20571282505989075
98,0.20560753345489502
99,0.2055022418498993
100,0.21213097870349884
101,0.21205003559589386
102,0.21196900308132172
103,0.21188794076442719
104,0.21180692315101624
105,0.2117258906364441
106,0.21164485812187195
107,0.211563840508461
108,0.21148288249969482
109,0.2114018201828003
110,0.21132078766822815
111,0.21123972535133362
112,0.2111586630344391
113,0.21107767522335052
114,0.21099664270877838
115,0.2109355628490448
116,0.2108876258134842
117,0.2108396291732788
118,0.2107916623353958
119,0.21074366569519043
120,0.2106957733631134
121,0.21064773201942444
122,0.21059973537921906
123,0.21055173873901367
124,0.2105037271976471
125,0.21045583486557007
126,0.2104077935218811
127,0.21035996079444885
128,0.2103119045495987
129,0.21026399731636047
130,0.21021591126918793
131,0.2101680189371109
132,0.21011996269226074
133,0.21007201075553894
134,0.21002411842346191
135,0.20997613668441772
136,0.20992811024188995
137,0.20988021790981293
138,0.20983216166496277
139,0.20978420972824097
140,0.20973630249500275
141,0.20968832075595856
142,0.20964032411575317
143,0.20959225296974182
144,0.20954440534114838
145,0.2094963937997818
146,0.2094484567642212
147,0.20940086245536804
148,0.20940512418746948
149,0.20940928161144257
150,0.20941349864006042
151,0.2094176858663559
152,0.20942190289497375
153,0.20942610502243042
154,0.20943039655685425
155,0.20943456888198853
156,0.209438756108284
157,0.20944300293922424
158,0.20944716036319733
