moneyness,time_to_maturity,kappa,theta,vov,rho,sigma,IV
0.9066298272398102,0.0382605043427606,1.3253,0.0354,0.3877,-0.7165,0.0174,0.09777770131461383
0.9482672860163744,0.0083534619126121,1.3253,0.0354,0.3877,-0.7165,0.0174,0.10550752497830143
0.9667289901459684,0.0739234831290739,1.3253,0.0354,0.3877,-0.7165,0.0174,0.11248271420811898
1.0163144048518389,0.114846440274512,1.3253,0.0354,0.3877,-0.7165,0.0174,0.13831922997884744
0.988993766756772,0.0136971466833705,1.3253,0.0354,0.3877,-0.7165,0.0174,0.11272122990894472
0.9355869152982136,0.0494063027940894,1.3253,0.0354,0.3877,-0.7165,0.0174,0.10343774523594235
0.9678583505422516,0.0767122815032519,1.3253,0.0354,0.3877,-0.7165,0.0174,0.11309582853026899
0.977487386905148,0.008404567000122,1.3253,0.0354,0.3877,-0.7165,0.0174,0.11841891773887944
1.0164783592942177,0.1917994723190218,1.3253,0.0354,0.3877,-0.7165,0.0174,0.1398380644999215
0.978529740212848,0.0330297966935253,1.3253,0.0354,0.3877,-0.7165,0.0174,0.1201250211289488
0.9969577359065128,0.0191559277210811,1.3253,0.0354,0.3877,-0.7165,0.0174,0.12070264169756374
0.9843484962977456,0.0711500148763882,1.3253,0.0354,0.3877,-0.7165,0.0174,0.12137506549053616
1.0008147894971244,0.0548795818250928,1.3253,0.0354,0.3877,-0.7165,0.0174,0.1322214740925513
1.002649862796562,0.1916086364457513,1.3253,0.0354,0.3877,-0.7165,0.0174,0.1326320537752847
1.0250237157156372,0.0136194672277652,1.3253,0.0354,0.3877,-0.7165,0.0174,0.1294496944776613
0.95697332849163,0.0109689263290035,1.3253,0.0354,0.3877,-0.7165,0.0174,0.10956213495360016
0.9949214519250148,0.0903947222922959,1.3253,0.0354,0.3877,-0.7165,0.0174,0.1273777112970821
1.0220735652160606,0.0110686364422249,1.3253,0.0354,0.3877,-0.7165,0.0174,0.14221351871808854
1.0112389886508877,0.0190230338791116,1.3253,0.0354,0.3877,-0.7165,0.0174,0.12795022654446112
0.9240417273872148,0.145088462509384,1.3253,0.0354,0.3877,-0.7165,0.0174,0.10208341541085751
0.9319066914658348,0.1342192716682201,1.3253,0.0354,0.3877,-0.7165,0.0174,0.10291604301484407
0.9773694975436988,0.145298299977086,1.3253,0.0354,0.3877,-0.7165,0.0174,0.12077117497385602
0.932824631992642,0.0547704714150123,1.3253,0.0354,0.3877,-0.7165,0.0174,0.1004961511629241
0.9561313499609804,0.027373725915775,1.3253,0.0354,0.3877,-0.7165,0.0174,0.10378583057077487
0.9211634134074176,0.019249825996331,1.3253,0.0354,0.3877,-0.7165,0.0174,0.10136967192388392
1.0483918057542798,0.0082828639900038,1.3253,0.0354,0.3877,-0.7165,0.0174,0.15405193598906977
0.9959279563965292,0.032954290487447,1.3253,0.0354,0.3877,-0.7165,0.0174,0.12961085649590987
1.0047996997286703,0.035815201925827,1.3253,0.0354,0.3877,-0.7165,0.0174,0.13399323649801856
0.9513274845788662,0.0546733363242507,1.3253,0.0354,0.3877,-0.7165,0.0174,0.10516957874853493
1.026801677606702,0.1918771152516567,1.3253,0.0354,0.3877,-0.7165,0.0174,0.14429805954520092
