moneyness,time_to_maturity,kappa,theta,vov,rho,sigma,IV
0.9048374180359595,0.1,1.3253,0.0174,0.3877,-0.7165,0.0354,0.1459398307267357
0.9048374180359595,0.10080808080808082,1.3253,0.0174,0.3877,-0.7165,0.0354,0.14535372462081964
0.9048374180359595,0.10161616161616162,1.3253,0.0174,0.3877,-0.7165,0.0354,0.14660396307925938
0.9048374180359595,0.10242424242424243,1.3253,0.0174,0.3877,-0.7165,0.0354,0.14602449850689253
0.9048374180359595,0.10323232323232323,1.3253,0.0174,0.3877,-0.7165,0.0354,0.14545185120873189
0.9048374180359595,0.10404040404040404,1.3253,0.0174,0.3877,-0.7165,0.0354,0.14488588855180057
0.9048374180359595,0.10484848484848486,1.3253,0.0174,0.3877,-0.7165,0.0354,0.14609733722758242
0.9048374180359595,0.10565656565656566,1.3253,0.0174,0.3877,-0.7165,0.0354,0.14553757525658953
0.9048374180359595,0.10646464646464647,1.3253,0.0174,0.3877,-0.7165,0.0354,0.1449841984418213
0.9048374180359595,0.10727272727272728,1.3253,0.0174,0.3877,-0.7165,0.0354,0.14615923216894128
0.9048374180359595,0.10808080808080808,1.3253,0.0174,0.3877,-0.7165,0.0354,0.14561181739106469
0.9048374180359595,0.1088888888888889,1.3253,0.0174,0.3877,-0.7165,0.0354,0.1450705076460624
0.9048374180359595,0.1096969696969697,1.3253,0.0174,0.3877,-0.7165,0.0354,0.14621098739265112
0.9048374180359595,0.11050505050505051,1.3253,0.0174,0.3877,-0.7165,0.0354,0.1456754142104319
0.9048374180359595,0.11131313131313132,1.3253,0.0174,0.3877,-0.7165,0.0354,0.14514568367711395
0.9048374180359595,0.11212121212121212,1.3253,0.0174,0.3877,-0.7165,0.0354,0.14462169032891167
0.9048374180359595,0.11292929292929293,1.3253,0.0174,0.3877,-0.7165,0.0354,0.1457291276396825
0.9048374180359595,0.11373737373737375,1.3253,0.0174,0.3877,-0.7165,0.0354,0.14521051699960788
0.9048374180359595,0.11454545454545455,1.3253,0.0174,0.3877,-0.7165,0.0354,0.14469740402758205
